cenario,id,tipo,t_entrada,status,biometria,t_chamada,t_fim,espera_seg,atendimento_seg
Cenário_B,266,priority,2026-02-22 01:15:08.279958,done,success,2026-02-22 01:22:49.651902,2026-02-22 01:23:09.162979,461.371944,19.511077
Cenário_B,267,urgent,2026-02-22 01:15:08.584322,done,success,2026-02-22 01:16:21.732834,2026-02-22 01:16:42.716663,73.148512,20.983829
Cenário_B,268,urgent,2026-02-22 01:15:08.898927,done,success,2026-02-22 01:16:42.772203,2026-02-22 01:17:08.408322,93.873276,25.636119
Cenário_B,269,priority,2026-02-22 01:15:09.183529,done,fail,2026-02-22 01:23:09.227477,2026-02-22 01:23:37.204143,480.043948,27.976666
Cenário_B,270,priority,2026-02-22 01:15:09.473310,done,success,2026-02-22 01:23:37.316328,2026-02-22 01:23:57.157501,507.843018,19.841173
Cenário_B,271,normal,2026-02-22 01:15:09.764799,waiting,N/A,,,,
Cenário_B,272,urgent,2026-02-22 01:15:10.054997,done,success,2026-02-22 01:17:08.466849,2026-02-22 01:17:29.030180,118.411852,20.563331
Cenário_B,273,priority,2026-02-22 01:15:10.349022,done,success,2026-02-22 01:23:57.236136,2026-02-22 01:24:20.332960,526.887114,23.096824
Cenário_B,274,urgent,2026-02-22 01:15:10.638609,done,success,2026-02-22 01:17:29.111115,2026-02-22 01:17:53.765249,138.472506,24.654134
Cenário_B,275,urgent,2026-02-22 01:15:10.959232,done,success,2026-02-22 01:17:53.831605,2026-02-22 01:18:16.884653,162.872373,23.053048
Cenário_B,276,urgent,2026-02-22 01:15:11.268129,done,success,2026-02-22 01:18:16.951317,2026-02-22 01:18:43.143216,185.683188,26.191899
Cenário_B,277,normal,2026-02-22 01:15:11.553207,waiting,N/A,,,,
Cenário_B,278,priority,2026-02-22 01:15:11.853427,done,success,2026-02-22 01:24:20.400588,2026-02-22 01:24:36.604232,548.547161,16.203644
Cenário_B,279,urgent,2026-02-22 01:15:12.153139,done,success,2026-02-22 01:18:43.184375,2026-02-22 01:19:03.840935,211.031236,20.65656
Cenário_B,280,priority,2026-02-22 01:15:12.481001,done,success,2026-02-22 01:24:36.691926,2026-02-22 01:25:04.697062,564.210925,28.005136
